id;created_date;last_modified_date;name;angular_js_name_application;angular_js_name_admin;description;title;init_url;service_id;created_by_id;last_modified_by_id
1;2017-01-08 00:00:00;2017-01-08 00:00:00;multi-visualization;platformChartModule;multiVisualizationModule;This is a multi visualization module;Multi Visualization;/service/abixen/business-intelligence/application/multi-visualization/html/index.html;abixen-platform-business-intelligence-service;1;1
2;2017-01-08 00:00:00;2017-01-08 00:00:00;magic-number;platformMagicNumberModule;NULL;This is a magic number module;Magic Number;/service/abixen/business-intelligence/application/magic-number/html/index.html;abixen-platform-business-intelligence-service;1;1
3;2017-01-08 00:00:00;2017-01-08 00:00:00;kpi-chart;platformKpiChartModule;NULL;This is a KPI chart module;KPI Chart;/service/abixen/business-intelligence/application/kpi-chart/html/index.html;abixen-platform-business-intelligence-service;1;1
4;2017-01-08 00:00:00;2017-01-08 00:00:00;web-content;NULL;webContentService;This is a web content module;Web content;/service/abixen/web-content/admin/html/index.html;abixen-platform-web-content-service;1;1
